,seller_id,buyer_id,product_id,product_price,sold_quantity,quantity_cluster,price_cluster,cluster,order_id
4814,4617,4758,4770,120.0,20.0,dull-product,middle-end,dull-product;middle-end,4617-4758
4815,4617,4769,4494,60.0,381.0,well-seller,middle-end,well-seller;middle-end,4617-4769
4816,4617,4788,4183,70.0,106.0,normal-product,middle-end,normal-product;middle-end,4617-4788
4817,4617,4848,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4848
4818,4617,4960,1766,47.0,1666.0,best-seller,low-end,best-seller;low-end,4617-4960
4819,4617,5027,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-5027
4820,4617,5027,674,49.0,826.0,well-seller,low-end,well-seller;low-end,4617-5027
4821,4617,5049,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-5049
4822,4617,5049,4237,56.0,53.0,dull-product,middle-end,dull-product;middle-end,4617-5049
4823,4826,32,3807,37.0,58.0,dull-product,low-end,dull-product;low-end,4826-32
4824,4826,260,1079,37.0,1470.0,best-seller,low-end,best-seller;low-end,4826-260
4825,4826,350,3828,37.0,25.0,dull-product,low-end,dull-product;low-end,4826-350
4826,4826,415,1077,37.0,53.0,dull-product,low-end,dull-product;low-end,4826-415
4827,4826,581,1079,37.0,1470.0,best-seller,low-end,best-seller;low-end,4826-581
4828,4826,812,3806,37.0,49.0,dull-product,low-end,dull-product;low-end,4826-812
4829,4826,882,3801,48.0,97.0,normal-product,low-end,normal-product;low-end,4826-882
4830,4826,970,3807,37.0,58.0,dull-product,low-end,dull-product;low-end,4826-970
4831,4826,1075,3842,37.0,17.0,dull-product,low-end,dull-product;low-end,4826-1075
4832,4826,1206,1085,43.5,37.0,dull-product,low-end,dull-product;low-end,4826-1206
4833,4826,1258,3843,51.0,8.0,dull-product,middle-end,dull-product;middle-end,4826-1258
4834,4826,1616,1518,36.5,77.0,dull-product,low-end,dull-product;low-end,4826-1616
4835,4826,1694,1062,43.0,63.0,dull-product,low-end,dull-product;low-end,4826-1694
4836,4826,1697,342,5.0,457.0,well-seller,low-end,well-seller;low-end,4826-1697
4837,4826,1697,1062,43.0,63.0,dull-product,low-end,dull-product;low-end,4826-1697
4838,4826,1897,1517,37.0,531.0,well-seller,low-end,well-seller;low-end,4826-1897
4839,4826,2161,393,35.0,686.0,well-seller,low-end,well-seller;low-end,4826-2161
4840,4826,2348,1077,37.0,53.0,dull-product,low-end,dull-product;low-end,4826-2348
4841,4826,2369,3850,48.0,1.0,dull-product,low-end,dull-product;low-end,4826-2369
4842,4826,2526,2422,37.0,19.0,dull-product,low-end,dull-product;low-end,4826-2526
4843,4826,2554,1076,37.0,199.0,normal-product,low-end,normal-product;low-end,4826-2554
4844,4826,2774,1088,43.5,74.0,dull-product,low-end,dull-product;low-end,4826-2774
4845,4826,2877,2427,37.0,106.0,normal-product,low-end,normal-product;low-end,4826-2877
4846,4826,2877,3825,37.0,51.0,dull-product,low-end,dull-product;low-end,4826-2877
4847,4826,2957,1071,36.5,374.0,well-seller,low-end,well-seller;low-end,4826-2957
4848,4826,3334,1079,37.0,1470.0,best-seller,low-end,best-seller;low-end,4826-3334
4849,4826,3394,3805,37.0,20.0,dull-product,low-end,dull-product;low-end,4826-3394
4850,4826,3647,1071,36.5,374.0,well-seller,low-end,well-seller;low-end,4826-3647
4851,4826,3948,1069,37.0,150.0,normal-product,low-end,normal-product;low-end,4826-3948
4852,4826,3948,1071,36.5,374.0,well-seller,low-end,well-seller;low-end,4826-3948
4853,4826,3948,2427,37.0,106.0,normal-product,low-end,normal-product;low-end,4826-3948
4854,4826,3987,3802,37.0,42.0,dull-product,low-end,dull-product;low-end,4826-3987
4855,4826,4003,1079,37.0,1470.0,best-seller,low-end,best-seller;low-end,4826-4003
4856,4826,4325,3849,53.0,26.0,dull-product,middle-end,dull-product;middle-end,4826-4325
4857,4826,4404,1071,36.5,374.0,well-seller,low-end,well-seller;low-end,4826-4404
4858,4826,4591,1079,37.0,1470.0,best-seller,low-end,best-seller;low-end,4826-4591
4859,4826,4658,2427,37.0,106.0,normal-product,low-end,normal-product;low-end,4826-4658
4860,4826,4755,2427,37.0,106.0,normal-product,low-end,normal-product;low-end,4826-4755
4861,4826,4846,1069,37.0,150.0,normal-product,low-end,normal-product;low-end,4826-4846
4862,4826,5007,1079,37.0,1470.0,best-seller,low-end,best-seller;low-end,4826-5007
4863,4826,5074,1071,36.5,374.0,well-seller,low-end,well-seller;low-end,4826-5074
4864,4867,56,4149,70.0,377.0,well-seller,middle-end,well-seller;middle-end,4867-56
4865,4867,76,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-76
4866,4867,110,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-110
4867,4867,145,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-145
4868,4867,145,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-145
4869,4867,354,2789,50.0,387.0,well-seller,low-end,well-seller;low-end,4867-354
4870,4867,366,2575,100.0,3699.0,best-seller,middle-end,best-seller;middle-end,4867-366
4871,4867,366,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-366
4872,4867,381,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-381
4873,4867,381,5036,68.0,336.0,well-seller,middle-end,well-seller;middle-end,4867-381
4874,4867,488,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-488
4875,4867,488,4922,80.0,980.0,best-seller,middle-end,best-seller;middle-end,4867-488
4876,4867,503,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-503
4877,4867,503,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-503
4878,4867,513,4893,100.0,5966.0,best-seller,middle-end,best-seller;middle-end,4867-513
4879,4867,533,3149,60.0,1018.0,best-seller,middle-end,best-seller;middle-end,4867-533
4880,4867,565,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-565
4881,4867,565,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-565
4882,4867,629,1871,100.0,1288.0,best-seller,middle-end,best-seller;middle-end,4867-629
4883,4867,629,4864,80.0,2578.0,best-seller,middle-end,best-seller;middle-end,4867-629
4884,4867,631,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-631
4885,4867,696,3149,60.0,1018.0,best-seller,middle-end,best-seller;middle-end,4867-696
4886,4867,718,3149,60.0,1018.0,best-seller,middle-end,best-seller;middle-end,4867-718
4887,4867,740,4893,100.0,5966.0,best-seller,middle-end,best-seller;middle-end,4867-740
4888,4867,780,4142,100.0,17.0,dull-product,middle-end,dull-product;middle-end,4867-780
4889,4867,780,4960,80.0,3543.0,best-seller,middle-end,best-seller;middle-end,4867-780
4890,4867,819,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-819
4891,4867,856,4870,68.0,2342.0,best-seller,middle-end,best-seller;middle-end,4867-856
4892,4867,887,1871,100.0,1288.0,best-seller,middle-end,best-seller;middle-end,4867-887
4893,4867,887,3176,80.0,12891.0,best-seller,middle-end,best-seller;middle-end,4867-887
4894,4867,897,4107,85.0,28.0,dull-product,middle-end,dull-product;middle-end,4867-897
4895,4867,897,4922,80.0,980.0,best-seller,middle-end,best-seller;middle-end,4867-897
4896,4867,899,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-899
4897,4867,953,346,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-953
4898,4867,953,3794,100.0,432.0,well-seller,middle-end,well-seller;middle-end,4867-953
4899,4867,1056,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-1056
4900,4867,1060,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-1060
4901,4867,1165,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-1165
4902,4867,1181,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-1181
4903,4867,1185,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-1185
4904,4867,1205,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-1205
4905,4867,1242,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-1242
4906,4867,1412,2785,90.0,800.0,well-seller,middle-end,well-seller;middle-end,4867-1412
4907,4867,1446,4108,80.0,105.0,normal-product,middle-end,normal-product;middle-end,4867-1446
4908,4867,1478,118,80.0,2428.0,best-seller,middle-end,best-seller;middle-end,4867-1478
4909,4867,1478,1534,100.0,923.0,well-seller,middle-end,well-seller;middle-end,4867-1478
4910,4867,1490,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-1490
4911,4867,1700,2618,100.0,4582.0,best-seller,middle-end,best-seller;middle-end,4867-1700
4912,4867,1710,5002,80.0,1910.0,best-seller,middle-end,best-seller;middle-end,4867-1710
4913,4867,1717,3153,65.0,2797.0,best-seller,middle-end,best-seller;middle-end,4867-1717
